dbpedia_id	dbpedia_label	inpe_id
São_Pedro_da_Água_Branca	São Pedro da Água Branca	Sao Pedro da agua Branca
São_Sebastião_do_Uatumã	São Sebastião do Uatumã	Sao Sebastiao do Uatuma
Sapucaia,_Pará	Sapucaia (Pará)	Sapucaia
Sena_Madureira	Sena Madureira	Sena Madureira
Senador_Guiomard	Senador Guiomard	Senador Guiomard
Senador_José_Porfírio	Senador José Porfírio	Senador Jose Porfirio
Senador_La_Rocque	Senador La Rocque	Senador La Rocque
Seringueiras	Seringueiras	Seringueiras
Silves,_Amazonas	Silves (Amazonas)	Silves
Sinop,_Mato_Grosso	Sinop	Sinop
Sorriso	Sorriso (Mato Grosso)	Sorriso
Tabaporã	Tabaporã	Tabapora
Tailândia,_Pará	Tailândia (Pará)	Tailandia
Tangará_da_Serra	Tangará da Serra	Tangara da Serra
Tapauá	Tapauá	Tapaua
Tapurah	Tapurah	Tapurah
Tarauacá	Tarauacá	Tarauaca
Tartarugalzinho	Tartarugalzinho	Tartarugalzinho
Tefé	Tefé	Tefe
Teixeirópolis	Teixeirópolis	Teixeiropolis
Terra_Nova_do_Norte	Terra Nova do Norte	Terra Nova do Norte
Terra_Santa	Terra Santa (Pará)	Terra Santa
Theobroma,_Rondônia	Theobroma	Theobroma
Tomé-Açu	Tomé-Açu	Tome-Açu
Tonantins	Tonantins	Tonantins
Trairão	Trairão	Trairao
Tucumã,_Pará	Tucumã (Pará)	Tucuma
Tucuruí	Tucuruí	Tucurui
Turiaçu	Turiaçu	Turiaçu
Turilândia	Turilândia	Turilandia
Uarini	Uarini	Uarini
Ulianópolis	Ulianópolis	Ulianopolis
União_do_Sul	União do Sul	Uniao do Sul
Uruará	Uruará	Uruara
Urucará	Urucará	Urucara
Urucurituba	Urucurituba	Urucurituba
Urupá	Urupá	Urupa
